======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,BD,BD_7die_p2,1,LIMIT_FILE,2025-12-04 18:42:18,2025-12-04 19:28:04,wat,7,2223,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\jianxiongjiao_workspace\T20250909_01_BD55\ALG4\bd_7die_p.tple,BD,798,CLEAN_COUNT,BD,TEMPERATURE,2025-12-04 18:40:25,2025-12-04 19:28:04,bd_7die_p.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-1 2),Site_2_Value(3 1),Site_3_Value(-3 1),Site_4_Value(-3 -1),Site_5_Value(2 -1),Site_6_Value(1 -2),Site_7_Value(-1 -2),
PCM703,Coffset_NHVT_27_27_Tox_inv,Tox_inv_NHVT_27_27_Coffset,Tox_inv_NHVT_27_27_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,
PCM703,Coffset_N60_27_27_Tox_inv,Tox_inv_N60_27_27_Coffset,Tox_inv_N60_27_27_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,
PCM704,Coffset_PSVT_27_27_Tox_inv,Tox_inv_PSVT_27_27_Coffset,Tox_inv_PSVT_27_27_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,
PCM704,Coffset_PLVT_27_27_Tox_inv,Tox_inv_PLVT_27_27_Coffset,Tox_inv_PLVT_27_27_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,
PCM704,Coffset_PHVT_27_27_Tox_inv,Tox_inv_PHVT_27_27_Coffset,Tox_inv_PHVT_27_27_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,
PCM704,Coffset_P60_27_27_Tox_inv,Tox_inv_P60_27_27_Coffset,Tox_inv_P60_27_27_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,
PCM030,Coffset_NSVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_inv_NSVT_9_0p054_153_Coffset,Cgg_inv_NSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,2.03922571428571e-12,1.37571626365874e-15,2.0407e-12,2.03683e-12,3.87000000000006e-15,2.0407e-12,2.03683e-12,2.04059e-12,2.03822e-12,2.03964e-12,2.03974e-12,2.03886e-12,
PCM030,Coffset_NSVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_acc_NSVT_9_0p054_153_Coffset,Cgg_acc_NSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,2.03970428571429e-12,2.35900301782243e-15,2.04261e-12,2.03608e-12,6.52999999999997e-15,2.03967e-12,2.03967e-12,2.04261e-12,2.04256e-12,2.03608e-12,2.03954e-12,2.0378e-12,
PCM030,Coffset_NSVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg0_NSVT_9_0p054_153_Coffset,Cgg0_NSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,2.03902714285714e-12,1.86047229026856e-15,2.04119e-12,2.03657e-12,4.62000000000003e-15,2.04073e-12,2.03657e-12,2.04119e-12,2.04016e-12,2.03781e-12,2.03969e-12,2.03704e-12,
PCM030,Coffset_NSVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_inv_NSVT_9_0p054_153_Coffset,Cgc_inv_NSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,2.01871428571429e-12,1.61708438393358e-15,2.02181e-12,2.01683e-12,4.97999999999984e-15,2.01683e-12,2.01927e-12,2.01836e-12,2.01733e-12,2.02181e-12,2.01838e-12,2.01902e-12,
PCM030,Coffset_NSVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_acc_NSVT_9_0p054_153_Coffset,Cgc_acc_NSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,2.01738857142857e-12,1.74473903083364e-15,2.01941e-12,2.01486e-12,4.55000000000002e-15,2.01891e-12,2.01486e-12,2.01611e-12,2.01603e-12,2.01762e-12,2.01941e-12,2.01878e-12,
PCM030,Coffset_NSVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc0_NSVT_9_0p054_153_Coffset,Cgc0_NSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,2.01859285714286e-12,2.19104019654062e-15,2.0226e-12,2.01612e-12,6.47999999999979e-15,2.01908e-12,2.01636e-12,2.01797e-12,2.01612e-12,2.0226e-12,2.01843e-12,2.01959e-12,
PCM030,Coffset_PSVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_inv_PSVT_9_0p054_153_Coffset,Cgg_inv_PSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,7.15371714285714e-13,2.23967108554551e-15,7.19729e-13,7.13348e-13,6.38099999999999e-15,7.15975e-13,7.15772e-13,7.15618e-13,7.19729e-13,7.13651e-13,7.13509e-13,7.13348e-13,
PCM030,Coffset_PSVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_acc_PSVT_9_0p054_153_Coffset,Cgg_acc_PSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,7.15703428571429e-13,2.11026245264602e-15,7.18696e-13,7.12127e-13,6.56899999999997e-15,7.12127e-13,7.18696e-13,7.15894e-13,7.14275e-13,7.15867e-13,7.17397e-13,7.15668e-13,
PCM030,Coffset_PSVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg0_PSVT_9_0p054_153_Coffset,Cgg0_PSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,7.15891571428571e-13,1.3017394589731e-15,7.17561e-13,7.14528e-13,3.03299999999995e-15,7.152e-13,7.17561e-13,7.17207e-13,7.1699e-13,7.15034e-13,7.14528e-13,7.14721e-13,
PCM030,Coffset_PSVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_inv_PSVT_9_0p054_153_Coffset,Cgc_inv_PSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,6.96172857142857e-13,2.14489179436256e-15,6.97902e-13,6.91682e-13,6.22000000000005e-15,6.97836e-13,6.91682e-13,6.97148e-13,6.96816e-13,6.95613e-13,6.97902e-13,6.96213e-13,
PCM030,Coffset_PSVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_acc_PSVT_9_0p054_153_Coffset,Cgc_acc_PSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,6.95812428571429e-13,2.1988570407633e-15,6.98016e-13,6.92233e-13,5.78300000000002e-15,6.97557e-13,6.96217e-13,6.97708e-13,6.98016e-13,6.93778e-13,6.95178e-13,6.92233e-13,
PCM030,Coffset_PSVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc0_PSVT_9_0p054_153_Coffset,Cgc0_PSVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,6.96612857142857e-13,2.33369416937832e-15,7.0007e-13,6.93757e-13,6.31299999999991e-15,6.98619e-13,6.93757e-13,6.96556e-13,7.0007e-13,6.94309e-13,6.97755e-13,6.95224e-13,
PCM030,Coffset_NLVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_inv_NLVT_9_0p054_153_Coffset,Cgg_inv_NLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.55687714285714e-12,1.89381197839803e-15,1.55889e-12,1.5539e-12,4.98999999999996e-15,1.55767e-12,1.55586e-12,1.5539e-12,1.55889e-12,1.55857e-12,1.55803e-12,1.55522e-12,
