======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,PXW,PXW_SRAM_HALFMAP,25,LIMIT_FILE,2026-01-26 11:05:49,2026-01-26 17:12:16,wat,31,1321,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\GM_Workspace\PXW\testplan\SRAM_HALFMAP.tple,PXW,13144,CLEAN_COUNT,PXW,TEMPERATURE,2026-01-26 11:03:53,2026-01-26 17:12:16,SRAM_HALFMAP.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-2 -3),Site_2_Value(0 -3),Site_3_Value(2 -3),Site_4_Value(3 -2),Site_5_Value(1 -2),Site_6_Value(-1 -2),Site_7_Value(-3 -2),Site_8_Value(-4 -1),Site_9_Value(-2 -1),Site_10_Value(0 -1),Site_11_Value(2 -1),Site_12_Value(4 -1),Site_13_Value(5 0),Site_14_Value(3 0),Site_15_Value(1 0),Site_16_Value(0 0),Site_17_Value(-1 0),Site_18_Value(-3 0),Site_19_Value(-5 0),Site_20_Value(-4 1),Site_21_Value(-2 1),Site_22_Value(0 1),Site_23_Value(2 1),Site_24_Value(4 1),Site_25_Value(3 2),Site_26_Value(1 2),Site_27_Value(-1 2),Site_28_Value(-3 2),Site_29_Value(-2 3),Site_30_Value(0 3),Site_31_Value(2 3),
SRAM26_02,COFFSET_HD_S011_DEHC_2PIN_BL_1MHZ_CAP,R[1734]_Coffset,R[1734]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM04_03,HD_S002_PG_L_VTGM,R[1],R[1],,-1e+32,1e+32,-1e+32,1e+32,6.45161290322581e+30,3.5921060405355e+31,2e+32,0.341468940625824,2e+32,2e+32,0.383530394162454,0.377957582900992,0.396569326770317,0.372334078549493,0.393678418043888,0.407800985402048,0.397186377280562,0.397017485467658,0.40380415003483,0.378418954322701,0.410920586536566,0.36613051431825,0.381005190217666,0.341468940625824,0.398500566473374,0.362986729426644,0.372427539219102,0.382913576249324,0.407802434968689,0.38750026375013,0.377354055614653,0.402425606160732,0.401182699998314,0.400802761825936,0.392586145227435,0.400631868188344,0.401468032442434,0.433129073445249,0.405120491156741,0.385668273810916,
SRAM04_03,HD_S002_PG_L_VTGM,TEMP1,TEMP1,,-1e+32,1e+32,-1e+32,1e+32,6.45161290322581e+30,3.5921060405355e+31,2e+32,2.52261145443624e-05,2e+32,2e+32,3.34797101998585e-05,3.32821246194511e-05,3.13340375995838e-05,3.49308633953375e-05,3.39825650335899e-05,3.70168762053964e-05,3.01087072030498e-05,3.24114364496378e-05,3.60654112278821e-05,3.65426146002761e-05,3.35304510013642e-05,3.14994278395164e-05,3.10835468411719e-05,3.67089527365525e-05,3.46538539656784e-05,3.26586279364978e-05,3.23909377654288e-05,2.52261145443624e-05,3.22481215213359e-05,3.45211332970138e-05,3.23396183302205e-05,3.42870847920175e-05,3.06929759150962e-05,3.36922482025843e-05,3.46602770163306e-05,3.3360840316296e-05,3.31664373787666e-05,2.82698477816443e-05,3.20869426533704e-05,3.15944683233584e-05,
SRAM04_03,HD_S002_PG_L_VTLIN,R[2],R[2],,-1e+32,1e+32,-1e+32,1e+32,0.266260750063004,0.077259041706896,0.675,0.2195068359375,0.4554931640625,0.675,0.251312255859375,0.234173583984375,0.245379638671875,0.23170166015625,0.256585693359375,0.275372314453125,0.258233642578125,0.254608154296875,0.2577392578125,0.2366455078125,0.246533203125,0.24818115234375,0.2498291015625,0.2195068359375,0.25081787109375,0.228900146484375,0.245379638671875,0.267462158203125,0.2689453125,0.245050048828125,0.240765380859375,0.249005126953125,0.262188720703125,0.259552001953125,0.254443359375,0.2722412109375,0.254443359375,0.287896728515625,0.2748779296875,0.251312255859375,
SRAM04_03,HD_S002_PG_L_ID1,R[3],R[3],,-1e+32,1e+32,-1e+32,1e+32,14.6902953007017,1.15123490194948,16.3077060838779,10.7812339343853,5.5264721494926,15.4195965826381,15.3711116939381,14.4382000922708,15.5516812871756,15.2551761002767,16.3077060838779,13.9403755824621,14.3259637716821,15.2475334396644,15.6884417226528,15.0050338840207,13.0415085598859,14.2104788508823,15.7716847558082,15.487535516533,14.3212880407424,14.0496074173064,10.7812339343853,14.327334568303,15.8907938375371,15.1574364234046,15.6621712504254,14.9598163735677,15.7573758924506,15.2162304538151,15.1058531587807,14.4142393184593,12.5705929755254,13.9941746553225,13.4386827972576,
SRAM04_03,HD_S002_PG_L_ID2,R[4],R[4],,-1e+32,1e+32,-1e+32,1e+32,15.1790812620858,1.18695039741264,16.7478427593435,11.1380917286746,5.6097510306689,15.9463580457723,15.9438230109255,14.8999895511827,16.0093805852165,15.7594978105075,16.7478427593435,14.4272524973397,14.8159202844476,15.7120269357463,16.1892734710462,15.5000980225517,13.4702486756096,14.6937316048307,16.2672583515108,16.0335102677104,14.8042591241522,14.520504223631,11.1380917286746,14.8142865953241,16.4264579220811,15.7263545771398,16.2120699181649,15.5255985953072,16.2895477936276,15.6747900905518,15.6366894557058,14.8978864111616,12.99030085598,14.4551003245829,13.8442883727495,
SRAM04_03,HD_S002_PG_L_ID3,R[5],R[5],,-1e+32,1e+32,-1e+32,1e+32,15.6131758697501,1.22223472747416,17.2203714210364,11.4521919352141,5.7681794858223,16.4081306301636,16.4545309768113,15.3941523439904,16.3965258490109,16.1929727297631,17.2203714210364,14.8514858844468,15.2105782650085,16.1262170711907,16.64749332491,15.9403302962477,13.8548416289267,15.1131014806391,16.7038272140007,16.4987906356735,15.2357971672254,14.9376207351311,11.4521919352141,15.2228027663809,16.9061222097254,16.2339086891691,16.6850680289335,16.0231072761916,16.7408385791333,16.098500797758,16.1110820329883,15.3078109349111,13.3576743503746,14.8528379030318,14.2165629345147,
SRAM04_03,HD_S002_PG_L_ID4,R[6],R[6],,-1e+32,1e+32,-1e+32,1e+32,16.0004220015798,1.25862103160278,17.671643428579,11.7243044534758,5.9473389751032,16.832606484462,16.9066855486163,15.8040205336321,16.7750895837004,16.574860163909,17.671643428579,15.2493736871828,15.5840921771432,16.4905283319402,17.0464123715243,16.3484918195795,14.1909684715797,15.4778460500074,17.0904091389041,16.913351725492,15.616841071757,15.3000180500116,11.7243044534758,15.5792849999522,17.3320439671772,16.6975553743486,17.1082669817459,16.46245527721,17.151813078013,16.4707363589064,16.5330791961668,15.6544910337413,13.6792106591315,15.2064846531817,14.5396953763233,
SRAM04_03,HD_S002_PG_L_ID5,R[7],R[7],,-1e+32,1e+32,-1e+32,1e+32,16.3417459068057,1.28878784322634,18.0367996976649,11.9537344961314,6.0830652015335,17.2025135781946,17.3035202413342,16.1405258790197,17.1060887380344,16.922628039229,18.0367996976649,15.593368526879,15.9105483313065,16.8145420840269,17.3940863570291,16.701573858437,14.4845442848779,15.8107242924493,17.4270792380732,17.2930796938894,15.9544138231745,15.629722804386,11.9537344961314,15.8940236597123,17.6956228873686,17.1054315093283,17.4684095347027,16.8364184109572,17.5336254003067,16.7943369958064,16.9224590375617,15.9753701112416,13.9756970679946,15.5294480926672,14.8420405323879,
SRAM04_03,HD_S002_PG_L_ID6,R[8],R[8],,-1e+32,1e+32,-1e+32,1e+32,10.2816176382566,2.05171650234586,12.0264806072173,1.92391994030371e-08,12.0264805879781,1.92391994030371e-08,11.2173725962545,10.7846515369195,10.0708420581615,11.3311487157872,11.0689697785178,11.8179880745929,9.96438937263074,10.4799215702953,11.2868513290934,11.4682847119825,10.2850994478079,10.0619600471796,10.2875405924752,12.0264806072173,10.9468562110445,10.52558975361,10.4123394190826,8.30359727872388,10.2485949460136,11.2881470135707,10.6809404446306,10.9111967208659,10.3528693793797,11.0740398482115,11.0871656953073,11.0428119745058,10.3336406706156,8.98222290576331,10.4164142528734,9.97221981360204,
