======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,PXW,PXW_BEOL_HALFMAP,24,LIMIT_FILE,2026-01-15 14:13:43,2026-01-15 18:49:20,wat,31,4192,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\GM_Workspace\PXW\testplan\BEOL_HALFMAP.tple,PXW,8060,CLEAN_COUNT,PXW,TEMPERATURE,2026-01-15 14:12:06,2026-01-15 18:49:20,BEOL_HALFMAP.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-3 -3),Site_2_Value(-1 -3),Site_3_Value(1 -3),Site_4_Value(3 -3),Site_5_Value(4 -2),Site_6_Value(2 -2),Site_7_Value(0 -2),Site_8_Value(-2 -2),Site_9_Value(-4 -2),Site_10_Value(-3 -1),Site_11_Value(-1 -1),Site_12_Value(1 -1),Site_13_Value(3 -1),Site_14_Value(4 0),Site_15_Value(2 0),Site_16_Value(0 0),Site_17_Value(-2 0),Site_18_Value(-4 0),Site_19_Value(-3 1),Site_20_Value(-1 1),Site_21_Value(1 1),Site_22_Value(3 1),Site_23_Value(4 2),Site_24_Value(2 2),Site_25_Value(0 2),Site_26_Value(-2 2),Site_27_Value(-4 2),Site_28_Value(-3 3),Site_29_Value(-1 3),Site_30_Value(1 3),Site_31_Value(3 3),
HOL_B01_01,R543,R[543],R[543],,-1e+32,1e+32,-1e+32,1e+32,-858493697593.532,293719244982.851,-495048196034.981,-1615565664566.31,1120517468531.32,-1615565664566.31,-873848285165.369,-981092675219.542,-1552803262458.2,-787739551637.234,-514151950712.108,-820063053150.613,-837240393730.738,-627079731882.855,-1031741507779.51,-787739551637.234,-520851786425.553,-1390720759512.59,-1390720759512.59,-803576384164.854,-913803874105.275,-803576384164.854,-590051643855.322,-935183914968.209,-647392974195.236,-772514877320.88,-787739551637.234,-1005779854646.8,-1031741507779.51,-501256399185.243,-757867540575.855,-935183914968.209,-495048196034.981,-637074471261.871,-627079731882.855,-637074471261.871,
HOL_B01_01,R542,R[542],R[542],,-1e+32,1e+32,-1e+32,1e+32,5254884411299.63,28114112836424.9,109412486419724,-15163536964008.9,124576023383733,-983231255887.478,-2930247182184.47,-5233044758199.47,-3162165273989.17,-2401793444640.82,-648228235996.633,-3162165273989.17,1709957709072.34,-6021767241614.63,1709957709072.34,-1621826931744.74,-3162165273989.17,-3433949519628.18,-4627006099578.41,-1765130545039.73,-1765130545039.73,-1304183272193.26,-1500044548819.39,-7090434840339.7,2600261395993.27,-15163536964008.9,-1153562290288.73,7446826498150.58,109412486419724,9152793886975.71,109412486419724,-4627006099578.41,-1500044548819.39,-937107881880.424,-3433949519628.18,-915631741345.863,
HOL_B01_01,R541,R[541],R[541],,-1e+32,1e+32,-1e+32,1e+32,-1713956121652.25,8449711109206.71,16892465218667.8,-24438798759589.1,41331263978256.9,-2730023068110.79,-10991812384645.7,-1061607941913.44,-1348191723872.63,-1121190532703.27,1709957709072.34,-1936213125804.69,4776169837431.15,-1395273945615.78,-1558560410470.56,-1061607941913.44,-3756845833505.26,-1936213125804.69,-895117904796.087,-895117904796.087,-24438798759589.1,-1224257437704.99,16892465218667.8,-10991812384645.7,9152793886975.71,-1621826931744.74,-4146768985317.93,9152793886975.71,5424651010692.53,11872659954138.9,-24438798759589.1,-2930247182184.47,-8620248193806.27,-1187858942472.12,-1187858942472.12,-637878911695.087,
HOL_B01_01,R540,R[540],R[540],,-1e+32,1e+32,-1e+32,1e+32,2376399730587.83,10996243173591,58179310763078.9,-7524390269881.16,65703701032960,1089651645248.88,4126735293272.64,-2610624617167.92,856257158702.079,1089651645248.88,2395630904429.71,-5466544250808.57,-5466544250808.57,2260185966282.42,617992898308.081,4601775949780.58,-2309042829435.79,2395630904429.71,915056444694.64,1007283488590.32,2139237102066.33,3420533044130.78,1843314395842.67,-5466544250808.57,10842114849928.6,1346583319988.1,-5466544250808.57,2395630904429.71,1843314395842.67,2548344141185.44,1687675856535.96,58179310763078.9,2920715260882.04,-1132056664875.88,-7524390269881.16,-1411943300081.41,
HOL_B01_01,R539,R[539],R[539],,-1e+32,1e+32,-1e+32,1e+32,3699951719767.03,13077185493191.7,58179310763078.9,-17284158599079.9,75463469362158.8,1089651645248.88,2139237102066.33,14876960318484.1,-3002819943895.1,23694921319287.1,3420533044130.78,-3533687415792.23,-6332479361688.72,-3876335394994.15,1932418842285.17,637709640634.819,-1714768029052.63,2721852909597.57,23694921319287.1,958957603605.524,1497957837973.06,2721852909597.57,3150926310343.83,-1200021768608.09,58179310763078.9,915056444694.64,1393523664978.54,14876960318484.1,2030575343618.29,1393523664978.54,-17284158599079.9,3420533044130.78,2030575343618.29,-1791619069621.55,-12066897558635.1,-1276668935978.44,
HOL_B01_01,R538,R[538],R[538],,-1e+32,1e+32,-1e+32,1e+32,-2697587293881.32,4065808356315.73,5527774536022.02,-14416556822399.6,19944331358421.6,-1257631123877.39,2462162618341.42,-1613014595900.15,1975290133813.29,-4555263232396.81,-854299484192.908,-2704984589463.03,-2128585278746.59,5527774536022.02,-4089089588604.21,-716439083828.313,-2248359809973.06,-1149126103323.49,-1183152505416.88,-5900665205054.27,-2533474769596.56,-1388763668859.44,-1183152505416.88,-4555263232396.81,-8373908116343.19,-1835278617845.58,-1550425758530.88,-14416556822399.6,-14416556822399.6,-581009519277.499,-2533474769596.56,-1149126103323.49,-6923026999113.29,-836416485687.415,-2020926562134.99,-892462044798.653,
HOL_B01_01,R537,R[537],R[537],,-1e+32,1e+32,-1e+32,1e+32,990419171321.795,34071703011444.3,174944291047783,-51784422468005.2,226728713515788,9449667166500.68,-22554139743166.9,174944291047783,-3128578219257.43,-1257631123877.39,-1438770279107.82,-51784422468005.2,-5900665205054.27,-4555263232396.81,-14416556822399.6,-2704984589463.03,-1492512684514.04,-1183152505416.88,-626563457282.284,-2020926562134.99,-2128585278746.59,-1342116408271.04,9449667166500.68,-3709471993020.56,-934193567890.706,-1342116408271.04,-2901402161084.23,-22554139743166.9,-5900665205054.27,-1183152505416.88,-1923633797795.59,-1086625366557.77,-2704984589463.03,-757167755629.252,-836416485687.415,-771792911676.479,
HOL_B01_01,R536,R[536],R[536],,-1e+32,1e+32,-1e+32,1e+32,-751459673261.331,344512837780.871,-406574399352.864,-1874985272863.27,1468410873510.41,-1100620388776.87,-722604077888.309,-1874985272863.27,-709773704643.178,-922772328411.083,-516999700378.013,-560493907105.829,-491569254701.478,-810512469875.549,-497689404948.701,-749708607680.56,-423816776528.972,-568464548275.791,-510398563901.043,-530727822018.849,-722604077888.309,-1164759476521.85,-437739828318.924,-735906852461.333,-463095529983.456,-810512469875.549,-447541458407.907,-662706328177.368,-568464548275.791,-844769268908.575,-922772328411.083,-1043176438769.67,-1714178994078.61,-685432959886.903,-406574399352.864,-673878083785.567,
HOL_B01_01,R535,R[535],R[535],,-1e+32,1e+32,-1e+32,1e+32,-1524295130515.41,1076087595972.25,-590263028781.025,-5967735809989.49,5377472781208.46,-2137295745838.07,-2028779992514.61,-1151677540754.7,-1151677540754.7,-2258076132829.15,-1442760176633.41,-590263028781.025,-1060021704320.16,-1222125757740.83,-1119413796403.2,-772951435255.046,-2545807607141.13,-627330702486.717,-1032627932050.73,-874442532215.782,-744161376949.356,-758283233451.302,-788198313215.13,-788198313215.13,-2719042252476.44,-2028779992514.61,-894006878841.283,-1618024585513.15,-914466706636.695,-1392482286939.78,-1555055940503.99,-1119413796403.2,-5967735809989.49,-3416487788413.28,-772951435255.046,-1760608709940.69,
HOL_B01_01,R534,R[534],R[534],,-1e+32,1e+32,-1e+32,1e+32,2955740367950.36,23837556750681.9,131320171474266,-4595167065598.8,135915338539865,-1496804804384.56,-855716135928.937,-1555055940503.99,-1686308000330.04,-1119413796403.2,-1392482286939.78,-3416487788413.28,-1060021704320.16,-935884936278.732,-1496804804384.56,-958330524620.364,-1442760176633.41,-758283233451.302,-704784785836.913,-1496804804384.56,-1032627932050.73,-1442760176633.41,-914466706636.695,-1686308000330.04,-4595167065598.8,-874442532215.782,-590263028781.025,-1088908499388.01,-820570699748.193,-627330702486.717,-1392482286939.78,-590263028781.025,-2028779992514.61,-914466706636.695,131320171474266,-717438986249.503,
